Instance,Solve Time,Highs Run Time,Objective
30_70_45_095_100.mps,13.034979,13.048318,3.000000
ash608gpia-3col.mps,1.230679,1.248794,2.000000
core2536-691.mps,3.810274,3.825646,688.476034
core4872-1529.mps,26.426656,26.448107,1509.718561
ex1010-pi.mps,23.291082,23.304594,220.670087
ex9.mps,35.668543,35.727633,81.000000
neos-1601936.mps,1.015604,1.024576,1.000000
neos-1605061.mps,6.541538,6.551851,6.150735
neos-1605075.mps,4.911712,4.922137,3.214461
neos-476283.mps,0.976948,1.287780,406.244708
neos-738098.mps,5.923461,5.946378,-1099.000000
neos-932816.mps,3.837600,3.891871,2285.500000
neos-935627.mps,6.686900,6.697433,2598.000000
neos-935769.mps,4.060189,4.069416,3010.000000
neos-937511.mps,5.904136,5.914915,3510.000000
neos-937815.mps,7.729970,7.741433,2837.000000
neos-941262.mps,12.475092,12.484399,2790.500000
neos-948126.mps,13.541921,13.552157,2602.000000
neos-984165.mps,12.089627,12.098337,2186.000000
ns1606230.mps,8.472246,8.482204,13.225000
ns1856153.mps,1.162939,1.190338,0.000000
ns894236.mps,2.913429,2.924008,12.305229
queens-30.mps,4.827407,4.836371,-70.912689
ramos3.mps,43.454255,43.460306,145.800000
t1717.mps,27.167443,27.202252,134531.021428
t1722.mps,4.964131,4.980318,98815.407611
