Instance,Orbital Crossover Time,Objective
cod103.mps,0.423100,-93.090909
cod105.mps,0.960019,-18.285714
cod733.mps,2.411146,-145.800000
codbt062.mps,0.870848,11.950820
codbt063.mps,1.357533,4.527950
codbt071.mps,2.413045,145.800000
codbt072.mps,49.340468,25.729412
codbt073.mps,72.197608,7.782918
codbt153.mps,0.345340,4.016529
codbt161.mps,1.421384,104.142857
codbt162.mps,8.328402,19.972603
codbt163.mps,15.465189,6.597285
codbt171.mps,87.512005,273.375000
codbt172.mps,629.742970,44.181818
codbt173.mps,1039.449898,11.983562
codbt251.mps,0.504994,74.769231
codbt252.mps,2.448162,15.677419
codbt253.mps,3.947270,5.684211
codbt342.mps,0.420830,12.461538
codbt343.mps,0.714424,4.984615
codbt441.mps,0.914169,99.692308
codbt442.mps,3.759275,20.571429
codbt451.mps,52.401342,259.200000
codbt452.mps,295.380655,44.689655
codbt453.mps,418.540293,12.747541
codbt531.mps,0.251641,72.000000
codbt532.mps,0.938697,16.301887
codbt622.mps,0.254259,13.090909
codbt631.mps,2.472851,132.923077
codbt632.mps,12.209082,27.000000
codbt721.mps,0.585983,96.000000
codbt722.mps,2.932032,21.333333
codbt731.mps,27.811443,246.857143
codbt732.mps,145.340618,45.473684
codbt811.mps,0.140993,69.818182
codbt812.mps,0.579956,17.066667
codbt821.mps,6.162164,177.230769
codbt822.mps,32.424815,35.446154
codbt911.mps,1.445004,128.000000
codbt912.mps,6.445849,27.927273
cov1274.mps,0.202916,14.142857
cov1275.mps,0.248134,37.714286
cov1385.mps,2.671748,22.982143
cov1386.mps,1.306779,61.285714
cov1387.mps,0.145102,214.500000
cov1396.mps,0.419402,20.428571
cov1397.mps,0.135791,47.666667
cov14107.mps,1.016113,28.600000
cov14108.mps,0.310850,66.733333
cov1496.mps,14.375599,35.750000
cov1497.mps,5.600753,95.333333
cov1498.mps,0.405527,333.666667
cov15107.mps,67.728845,53.625000
cov15108.mps,26.375988,143.000000
cov15109.mps,0.757252,500.500000
cov151110.mps,0.050247,273.000000
cov15118.mps,3.120270,39.000000
cov15119.mps,0.560353,91.000000
cov161110.mps,1.633955,728.000000
cov16118.mps,310.407700,78.000000
cov16119.mps,97.471113,208.000000
cov161210.mps,1.051131,121.333333
cov161211.mps,0.077361,364.000000
cov16129.mps,8.578608,52.000000
cov161310.mps,0.158004,28.000000
cov171210.mps,325.800232,294.666667
cov171211.mps,2.271984,1031.333333
cov17129.mps,1248.448368,110.500000
cov171310.mps,12.409985,68.000000
cov171311.mps,1.602045,158.666667
cov171312.mps,0.103984,476.000000
cov171411.mps,0.194674,34.000000
cov171412.mps,0.071088,68.000000
