Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Major Iterations,Non Trivial Pivots,Total Pivots
cod103,0.00276,0.00026,0.00052,0.00081,0.22165,0.22216,0.22661,1,479,1023
cod105,0.01019,0.00049,0.00051,0.00100,0.59309,0.59360,0.60687,1,650,1023
cod733,0.00647,0.00047,0.00058,0.00177,1.74287,1.74345,1.75336,1,1799,2186
codbt161,0.00433,0.00032,0.00049,0.00167,0.82844,0.82894,0.83625,1,1109,1457
codbt162,0.01689,0.00072,0.00050,0.00250,3.26641,3.26691,3.28954,1,1154,1457
codbt163,0.04287,0.00132,0.00049,0.00342,4.73820,4.73869,4.79295,1,1051,1457
codbt164,0.07082,0.00225,0.00050,0.00502,3.53216,3.53266,3.62151,1,849,1457
codbt171,0.01694,0.00092,0.00059,0.00575,24.32735,24.32794,24.35404,3,3713,4373
codbt172,0.06625,0.00181,0.00080,0.01127,210.80069,210.80149,210.89126,3,3905,4229
codbt173,0.21177,0.00413,0.00050,0.02929,82.79046,82.79096,83.06706,3,3786,4373
codbt174,0.65809,0.01191,0.00060,0.06673,95.88895,95.88955,96.69968,3,3509,4373
codbt251,0.00278,0.00018,0.00102,0.00070,0.28590,0.28691,0.29110,1,603,971
codbt252,0.00992,0.00058,0.00049,0.00107,0.64703,0.64752,0.66048,1,564,971
codbt261,0.01073,0.00071,0.00055,0.00344,7.01804,7.01859,7.03568,2,1773,2861
codbt262,0.04102,0.00161,0.00049,0.00479,48.83124,48.83173,48.88463,2,2363,2899
codbt342,0.00632,0.00027,0.00042,0.00093,0.16454,0.16496,0.17352,1,370,647
codbt451,0.01235,0.00133,0.00050,0.00289,27.29002,27.29052,27.30897,2,2930,3887
codbt452,0.05441,0.00151,0.00053,0.00723,89.36013,89.36066,89.43028,2,3467,3840
codbt453,0.15993,0.00456,0.00052,0.02178,48.36208,48.36259,48.57155,3,3409,3887
codbt531,0.00251,0.00020,0.00045,0.00077,0.21494,0.21539,0.21941,1,531,863
codbt532,0.00852,0.00034,0.00049,0.00091,0.55073,0.55122,0.56218,1,504,863
codbt721,0.00351,0.00021,0.00040,0.00101,0.35336,0.35376,0.35918,1,840,1151
codbt722,0.01068,0.00052,0.00052,0.00125,1.27080,1.27132,1.28516,1,788,1151
codbt731,0.01229,0.00090,0.00059,0.00504,16.43226,16.43285,16.45357,3,2933,3387
codbt732,0.04161,0.00141,0.00044,0.00817,21.13955,21.13999,21.19749,3,3126,3455
codbt812,0.00674,0.00030,0.00047,0.00097,0.24935,0.24982,0.25888,1,475,767
codbt821,0.00721,0.00046,0.00055,0.00247,3.87564,3.87619,3.88769,2,1870,2303
codbt822,0.02445,0.00090,0.00046,0.00409,5.22536,5.22581,5.25845,2,1872,2303
codbt831,0.02444,0.00120,0.00043,0.01009,96.07772,96.07815,96.11789,4,6042,6692
codbt832,0.10008,0.00358,0.00047,0.02074,209.27537,209.27584,209.41355,4,6281,6592
cov1385,0.01207,0.00062,0.00063,0.00170,0.72133,0.72195,0.73874,1,750,1286
cov1386,0.00705,0.00043,0.00056,0.00120,0.54568,0.54624,0.55604,1,941,1286
cov1387,0.00279,0.00021,0.00054,0.00098,0.18521,0.18574,0.19032,1,834,1286
cov1396,0.01127,0.00052,0.00043,0.00111,0.24969,0.25013,0.26455,1,307,714
cov14107,0.01919,0.00093,0.00049,0.00243,0.50866,0.50915,0.53450,1,579,1000
cov14108,0.00813,0.00058,0.00052,0.00123,0.38118,0.38169,0.39316,1,681,1000
cov1496,0.03374,0.00109,0.00064,0.00450,3.90991,3.91056,3.95429,2,1531,2001
cov1497,0.01682,0.00078,0.00065,0.00422,2.81797,2.81863,2.84301,2,1614,2001
cov1498,0.00624,0.00062,0.00047,0.00239,0.30170,0.30217,0.31262,2,1028,2001
cov15107,0.05154,0.00142,0.00049,0.00743,19.21314,19.21362,19.28165,2,2483,3002
cov15108,0.02679,0.00083,0.00044,0.00665,10.14052,10.14096,10.17920,3,2201,3002
cov15109,0.00828,0.00068,0.00046,0.00473,0.85740,0.85787,0.87331,3,1402,3002
cov151110,0.00362,0.00035,0.00043,0.00260,0.04691,0.04734,0.05488,2,197,1364
cov15118,0.03549,0.00124,0.00045,0.00678,1.28780,1.28825,1.33750,2,983,1364
cov15119,0.01411,0.00075,0.00057,0.00379,0.58627,0.58684,0.60772,2,950,1364
cov161110,0.01360,0.00112,0.00044,0.00843,1.91036,1.91080,1.93668,4,2197,4367
cov16118,0.11549,0.00280,0.00053,0.01979,53.19217,53.19269,53.34481,3,3989,4367
cov16119,0.04567,0.00158,0.00045,0.01356,14.61725,14.61770,14.68561,4,3270,4367
cov161210,0.02090,0.00133,0.00045,0.00567,1.18242,1.18287,1.21400,2,1328,1819
cov161211,0.00586,0.00053,0.00067,0.00261,0.12477,0.12545,0.13580,2,528,1819
cov16129,0.06523,0.00165,0.00046,0.01083,3.85346,3.85392,3.93959,2,1408,1819
cov171210,0.07975,0.00252,0.00050,0.02809,37.77510,37.77560,37.89791,5,4878,6187
cov171211,0.01915,0.00140,0.00050,0.01682,2.37393,2.37443,2.41610,5,2168,6187
cov17129,0.23100,0.00464,0.00050,0.04771,180.68015,180.68065,180.99388,4,5748,6187
cov171310,0.11570,0.00335,0.00048,0.01552,10.86098,10.86146,11.01079,2,1942,2379
cov171311,0.03469,0.00142,0.00055,0.00682,3.09331,3.09386,3.14151,2,1404,2379
cov171312,0.00904,0.00089,0.00058,0.00338,0.22063,0.22121,0.23649,2,775,2379
cov171411,0.04242,0.00160,0.00047,0.00499,0.30410,0.30456,0.35928,1,289,679
sts729,0.02344,0.00452,0.00048,0.02740,0.28647,0.28695,0.35349,1,13,728
